Time,User,Event Type,Project
2026-01-26 17:34:00,frank@acme.com,USER_LOGOUT,
2026-01-26 17:08:17,bob@acme.com,SCAN_STARTED,guava
2026-01-26 17:08:17,bob@acme.com,SCAN_ERROR,guava
2026-01-26 14:39:29,bob@acme.com,SCAN_COMPLETED,smob
2026-01-26 14:21:11,bob@acme.com,SCAN_STARTED,smob
2026-01-26 10:45:00,charlie@acme.com,USER_LOGIN,
2026-01-26 10:30:00,charlie@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-26 09:57:00,frank@acme.com,USER_LOGIN,
2026-01-26 09:56:00,alice@acme.com,USER_LOGIN,
2026-01-26 08:16:00,bob@acme.com,USER_LOGIN,
2026-01-26 07:53:00,diana@acme.com,USER_LOGIN,
2026-01-26 07:07:35,bob@acme.com,SCAN_COMPLETED,smob
2026-01-26 07:07:35,bob@acme.com,SCAN_STARTED,smob
2026-01-26 04:43:20,bob@acme.com,SCAN_COMPLETED,Mailtest
2026-01-26 04:40:55,bob@acme.com,SCAN_STARTED,Mailtest
2026-01-26 02:43:45,alice@acme.com,SCAN_COMPLETED,guava
2026-01-26 02:36:40,alice@acme.com,SCAN_STARTED,guava
2026-01-26 00:00:00,bob@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-25 20:16:00,diana@acme.com,USER_LOGOUT,
2026-01-25 19:44:00,bob@acme.com,USER_LOGOUT,
2026-01-25 17:32:00,charlie@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-25 17:11:00,eve@acme.com,USER_LOGOUT,
2026-01-25 15:09:00,charlie@acme.com,REPORT_GENERATED,spring-framework
2026-01-25 15:05:00,charlie@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-25 15:03:00,alice@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-25 10:13:00,eve@acme.com,USER_LOGIN,
2026-01-25 08:17:00,diana@acme.com,USER_LOGIN,
2026-01-25 07:31:00,bob@acme.com,USER_LOGIN,
2026-01-25 06:47:30,frank@acme.com,SCAN_COMPLETED,Mailtest
2026-01-25 06:47:30,frank@acme.com,SCAN_STARTED,Mailtest
2026-01-25 03:53:12,diana@acme.com,SCAN_COMPLETED,Mailtest
2026-01-25 03:53:12,diana@acme.com,SCAN_STARTED,Mailtest
2026-01-25 00:58:00,frank@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-24 23:48:00,alice@acme.com,FINDING_STATUS_CHANGED,Mybinary
2026-01-24 22:01:00,bob@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-24 19:21:00,diana@acme.com,USER_LOGOUT,
2026-01-24 17:59:00,eve@acme.com,REPORT_GENERATED,Mailtest
2026-01-24 17:33:00,frank@acme.com,USER_LOGOUT,
2026-01-24 17:25:00,charlie@acme.com,FINDING_STATUS_CHANGED,WebGoat
2026-01-24 17:15:00,alice@acme.com,USER_LOGOUT,
2026-01-24 16:36:27,bob@acme.com,SCAN_COMPLETED,smob
2026-01-24 16:22:27,bob@acme.com,SCAN_STARTED,smob
2026-01-24 14:00:00,diana@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-24 09:31:00,alice@acme.com,USER_LOGIN,
2026-01-24 08:15:00,frank@acme.com,USER_LOGIN,
2026-01-24 07:49:00,diana@acme.com,USER_LOGIN,
2026-01-24 07:07:46,bob@acme.com,SCAN_COMPLETED,spring-framework
2026-01-24 07:07:46,bob@acme.com,SCAN_STARTED,spring-framework
2026-01-23 19:55:00,diana@acme.com,USER_LOGOUT,
2026-01-23 19:42:00,frank@acme.com,USER_LOGOUT,
2026-01-23 19:42:00,alice@acme.com,USER_LOGOUT,
2026-01-23 18:31:00,frank@acme.com,FINDING_STATUS_CHANGED,guava
2026-01-23 17:55:00,eve@acme.com,USER_LOGOUT,
2026-01-23 17:46:00,bob@acme.com,USER_LOGOUT,
2026-01-23 15:54:33,bob@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-23 15:35:48,bob@acme.com,SCAN_STARTED,elasticsearch
2026-01-23 14:36:39,charlie@acme.com,SCAN_COMPLETED,Mybinary
2026-01-23 14:36:39,charlie@acme.com,SCAN_STARTED,Mybinary
2026-01-23 14:01:00,alice@acme.com,REPORT_GENERATED,nifi
2026-01-23 11:54:00,alice@acme.com,REPORT_GENERATED,Mybinary
2026-01-23 10:50:00,eve@acme.com,USER_LOGIN,
2026-01-23 08:41:00,bob@acme.com,USER_LOGIN,
2026-01-23 08:35:00,diana@acme.com,SCAN_STARTED,Mybinary
2026-01-23 08:35:00,diana@acme.com,SCAN_ERROR,Mybinary
2026-01-23 08:33:00,alice@acme.com,REPORT_GENERATED,spring-framework
2026-01-23 07:57:00,frank@acme.com,USER_LOGIN,
2026-01-23 07:25:44,alice@acme.com,SCAN_COMPLETED,spring-framework
2026-01-23 07:25:44,alice@acme.com,SCAN_STARTED,spring-framework
2026-01-23 07:20:00,diana@acme.com,USER_LOGIN,
2026-01-23 07:16:00,alice@acme.com,USER_LOGIN,
2026-01-23 06:43:00,eve@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-23 05:37:07,charlie@acme.com,SCAN_ERROR,elasticsearch
2026-01-23 05:31:13,charlie@acme.com,SCAN_STARTED,elasticsearch
2026-01-23 00:33:00,bob@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-22 23:42:14,charlie@acme.com,SCAN_COMPLETED,Mailtest
2026-01-22 23:37:17,charlie@acme.com,SCAN_STARTED,Mailtest
2026-01-22 20:41:00,eve@acme.com,USER_LOGOUT,
2026-01-22 20:21:13,alice@acme.com,SCAN_COMPLETED,Mybinary
2026-01-22 20:17:00,bob@acme.com,USER_LOGOUT,
2026-01-22 20:15:06,alice@acme.com,SCAN_STARTED,Mybinary
2026-01-22 19:43:00,charlie@acme.com,USER_LOGOUT,
2026-01-22 19:29:00,frank@acme.com,USER_LOGOUT,
2026-01-22 17:09:00,diana@acme.com,USER_LOGOUT,
2026-01-22 16:41:17,charlie@acme.com,SCAN_STARTED,guava
2026-01-22 16:41:17,charlie@acme.com,SCAN_COMPLETED,guava
2026-01-22 15:13:22,alice@acme.com,SCAN_COMPLETED,nifi
2026-01-22 15:06:27,alice@acme.com,SCAN_STARTED,nifi
2026-01-22 13:42:23,alice@acme.com,SCAN_COMPLETED,smob
2026-01-22 13:42:23,alice@acme.com,SCAN_STARTED,smob
2026-01-22 10:35:00,eve@acme.com,USER_LOGIN,
2026-01-22 10:09:00,alice@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-22 09:41:00,charlie@acme.com,USER_LOGIN,
2026-01-22 08:25:00,diana@acme.com,USER_LOGIN,
2026-01-22 08:01:00,frank@acme.com,USER_LOGIN,
2026-01-22 07:40:00,bob@acme.com,USER_LOGIN,
2026-01-22 06:44:00,alice@acme.com,FINDING_STATUS_CHANGED,WebGoat
2026-01-22 05:58:00,charlie@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-22 03:38:00,bob@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-22 02:40:00,bob@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-22 00:34:00,alice@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-21 23:57:44,diana@acme.com,SCAN_COMPLETED,guava
2026-01-21 23:45:07,diana@acme.com,SCAN_STARTED,guava
2026-01-21 23:38:23,alice@acme.com,SCAN_COMPLETED,Mybinary
2026-01-21 23:34:03,alice@acme.com,SCAN_STARTED,Mybinary
2026-01-21 20:42:00,charlie@acme.com,USER_LOGOUT,
2026-01-21 20:17:00,frank@acme.com,USER_LOGOUT,
2026-01-21 18:36:00,diana@acme.com,USER_LOGOUT,
2026-01-21 18:28:04,charlie@acme.com,SCAN_COMPLETED,guava
2026-01-21 18:15:00,bob@acme.com,USER_LOGOUT,
2026-01-21 18:13:29,charlie@acme.com,SCAN_STARTED,guava
2026-01-21 17:33:00,alice@acme.com,USER_LOGOUT,
2026-01-21 10:59:00,alice@acme.com,USER_LOGIN,
2026-01-21 10:41:00,bob@acme.com,REPORT_GENERATED,spring-framework
2026-01-21 10:39:00,alice@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-21 10:16:00,charlie@acme.com,USER_LOGIN,
2026-01-21 10:13:00,frank@acme.com,USER_LOGIN,
2026-01-21 09:36:43,diana@acme.com,SCAN_COMPLETED,guava
2026-01-21 09:36:43,diana@acme.com,SCAN_STARTED,guava
2026-01-21 08:56:00,diana@acme.com,USER_LOGIN,
2026-01-21 08:23:00,bob@acme.com,USER_LOGIN,
2026-01-21 06:53:01,alice@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-21 06:53:01,alice@acme.com,SCAN_STARTED,elasticsearch
2026-01-20 21:43:51,alice@acme.com,SCAN_COMPLETED,Mailtest
2026-01-20 21:43:51,alice@acme.com,SCAN_STARTED,Mailtest
2026-01-20 20:51:00,frank@acme.com,USER_LOGOUT,
2026-01-20 20:14:06,frank@acme.com,SCAN_COMPLETED,Mailtest
2026-01-20 19:57:14,frank@acme.com,SCAN_STARTED,Mailtest
2026-01-20 19:50:00,diana@acme.com,USER_LOGOUT,
2026-01-20 19:32:00,charlie@acme.com,USER_LOGOUT,
2026-01-20 19:20:00,bob@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-20 19:04:00,bob@acme.com,USER_LOGOUT,
2026-01-20 18:33:00,eve@acme.com,FINDING_STATUS_CHANGED,Mybinary
2026-01-20 18:31:00,bob@acme.com,FINDING_STATUS_CHANGED,Mybinary
2026-01-20 17:45:00,alice@acme.com,USER_LOGOUT,
2026-01-20 17:02:13,alice@acme.com,SCAN_ERROR,spring-framework
2026-01-20 17:01:58,alice@acme.com,SCAN_STARTED,spring-framework
2026-01-20 11:48:00,bob@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-20 11:05:19,bob@acme.com,SCAN_COMPLETED,nifi
2026-01-20 10:48:56,bob@acme.com,SCAN_STARTED,nifi
2026-01-20 10:27:00,diana@acme.com,USER_LOGIN,
2026-01-20 08:39:00,alice@acme.com,USER_LOGIN,
2026-01-20 07:41:00,charlie@acme.com,USER_LOGIN,
2026-01-20 07:37:00,bob@acme.com,USER_LOGIN,
2026-01-20 07:19:00,frank@acme.com,USER_LOGIN,
2026-01-20 05:10:25,alice@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-20 04:55:29,alice@acme.com,SCAN_STARTED,elasticsearch
2026-01-19 20:37:00,eve@acme.com,USER_LOGOUT,
2026-01-19 20:20:00,charlie@acme.com,USER_LOGOUT,
2026-01-19 19:10:00,bob@acme.com,USER_LOGOUT,
2026-01-19 18:31:00,frank@acme.com,USER_LOGOUT,
2026-01-19 17:55:00,alice@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-19 17:44:00,alice@acme.com,USER_LOGOUT,
2026-01-19 16:31:40,eve@acme.com,SCAN_COMPLETED,Mybinary
2026-01-19 16:31:40,eve@acme.com,SCAN_STARTED,Mybinary
2026-01-19 12:12:00,alice@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-19 11:36:06,charlie@acme.com,SCAN_COMPLETED,smob
2026-01-19 11:19:48,charlie@acme.com,SCAN_STARTED,smob
2026-01-19 10:17:00,eve@acme.com,USER_LOGIN,
2026-01-19 09:58:00,bob@acme.com,FINDING_STATUS_CHANGED,elasticsearch
2026-01-19 09:23:00,frank@acme.com,USER_LOGIN,
2026-01-19 08:21:20,frank@acme.com,SCAN_STARTED,elasticsearch
2026-01-19 08:21:20,frank@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-19 08:21:00,bob@acme.com,USER_LOGIN,
2026-01-19 07:51:00,alice@acme.com,USER_LOGIN,
2026-01-19 07:20:00,charlie@acme.com,USER_LOGIN,
2026-01-19 04:45:13,bob@acme.com,SCAN_STARTED,guava
2026-01-19 04:45:13,bob@acme.com,SCAN_COMPLETED,guava
2026-01-19 04:18:00,charlie@acme.com,FINDING_STATUS_CHANGED,nifi
2026-01-19 03:59:00,charlie@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-19 01:16:33,diana@acme.com,SCAN_COMPLETED,nifi
2026-01-19 01:13:53,diana@acme.com,SCAN_STARTED,nifi
2026-01-19 00:52:00,frank@acme.com,FINDING_STATUS_CHANGED,WebGoat
2026-01-18 23:55:30,charlie@acme.com,SCAN_STARTED,Mailtest
2026-01-18 23:55:30,charlie@acme.com,SCAN_COMPLETED,Mailtest
2026-01-18 18:15:00,charlie@acme.com,USER_LOGOUT,
2026-01-18 18:01:00,frank@acme.com,USER_LOGOUT,
2026-01-18 17:55:00,diana@acme.com,USER_LOGOUT,
2026-01-18 14:56:25,diana@acme.com,SCAN_COMPLETED,Mailtest
2026-01-18 14:39:52,diana@acme.com,SCAN_STARTED,Mailtest
2026-01-18 13:08:00,alice@acme.com,FINDING_STATUS_CHANGED,WebGoat
2026-01-18 09:37:00,diana@acme.com,USER_LOGIN,
2026-01-18 09:07:00,frank@acme.com,USER_LOGIN,
2026-01-18 07:42:00,charlie@acme.com,USER_LOGIN,
2026-01-18 05:38:00,bob@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-17 20:22:00,alice@acme.com,USER_LOGOUT,
2026-01-17 18:53:00,charlie@acme.com,USER_LOGOUT,
2026-01-17 17:48:00,frank@acme.com,USER_LOGOUT,
2026-01-17 14:05:00,charlie@acme.com,FINDING_STATUS_CHANGED,Mailtest
2026-01-17 09:24:00,alice@acme.com,USER_LOGIN,
2026-01-17 09:22:00,frank@acme.com,USER_LOGIN,
2026-01-17 07:37:00,charlie@acme.com,USER_LOGIN,
2026-01-17 07:15:16,alice@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-17 07:11:51,alice@acme.com,SCAN_STARTED,elasticsearch
2026-01-17 03:29:08,bob@acme.com,SCAN_COMPLETED,Mailtest
2026-01-17 03:29:08,bob@acme.com,SCAN_STARTED,Mailtest
2026-01-16 23:42:00,diana@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-16 22:51:26,eve@acme.com,SCAN_COMPLETED,spring-framework
2026-01-16 22:44:24,eve@acme.com,SCAN_STARTED,spring-framework
2026-01-16 20:47:00,eve@acme.com,FINDING_STATUS_CHANGED,nifi
2026-01-16 20:42:00,charlie@acme.com,USER_LOGOUT,
2026-01-16 20:37:00,diana@acme.com,USER_LOGOUT,
2026-01-16 20:31:00,frank@acme.com,USER_LOGOUT,
2026-01-16 19:49:00,eve@acme.com,USER_LOGOUT,
2026-01-16 19:11:00,diana@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-16 18:32:00,bob@acme.com,USER_LOGOUT,
2026-01-16 15:39:54,alice@acme.com,SCAN_STARTED,elasticsearch
2026-01-16 15:39:54,alice@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-16 10:48:54,diana@acme.com,SCAN_COMPLETED,spring-framework
2026-01-16 10:39:00,eve@acme.com,USER_LOGIN,
2026-01-16 10:30:00,bob@acme.com,USER_LOGIN,
2026-01-16 10:29:28,diana@acme.com,SCAN_STARTED,spring-framework
2026-01-16 08:55:00,charlie@acme.com,REPORT_GENERATED,smob
2026-01-16 08:19:00,frank@acme.com,USER_LOGIN,
2026-01-16 07:47:34,alice@acme.com,SCAN_ERROR,nifi
2026-01-16 07:43:19,alice@acme.com,SCAN_STARTED,nifi
2026-01-16 07:36:00,charlie@acme.com,USER_LOGIN,
2026-01-16 07:25:00,diana@acme.com,USER_LOGIN,
2026-01-16 02:18:32,frank@acme.com,SCAN_COMPLETED,Mailtest
2026-01-16 02:18:32,frank@acme.com,SCAN_STARTED,Mailtest
2026-01-15 21:58:21,charlie@acme.com,SCAN_COMPLETED,WebGoat
2026-01-15 21:58:21,charlie@acme.com,SCAN_STARTED,WebGoat
2026-01-15 20:31:00,charlie@acme.com,USER_LOGOUT,
2026-01-15 20:28:00,diana@acme.com,USER_LOGOUT,
2026-01-15 18:35:00,bob@acme.com,USER_LOGOUT,
2026-01-15 17:52:29,alice@acme.com,SCAN_COMPLETED,spring-framework
2026-01-15 17:48:00,eve@acme.com,USER_LOGOUT,
2026-01-15 17:43:46,alice@acme.com,SCAN_STARTED,spring-framework
2026-01-15 17:24:00,alice@acme.com,USER_LOGOUT,
2026-01-15 16:19:42,frank@acme.com,SCAN_COMPLETED,guava
2026-01-15 16:19:42,frank@acme.com,SCAN_STARTED,guava
2026-01-15 14:52:00,charlie@acme.com,FINDING_STATUS_CHANGED,nifi
2026-01-15 14:45:00,alice@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-15 13:42:24,diana@acme.com,SCAN_COMPLETED,nifi
2026-01-15 13:42:24,diana@acme.com,SCAN_STARTED,nifi
2026-01-15 12:45:03,diana@acme.com,SCAN_COMPLETED,guava
2026-01-15 12:35:53,diana@acme.com,SCAN_STARTED,guava
2026-01-15 10:20:00,diana@acme.com,USER_LOGIN,
2026-01-15 10:12:00,charlie@acme.com,USER_LOGIN,
2026-01-15 10:02:00,bob@acme.com,USER_LOGIN,
2026-01-15 09:34:00,eve@acme.com,USER_LOGIN,
2026-01-15 08:18:00,charlie@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-15 07:27:00,alice@acme.com,USER_LOGIN,
2026-01-14 22:24:00,eve@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-14 22:12:00,diana@acme.com,FINDING_STATUS_CHANGED,Mybinary
2026-01-14 19:09:00,charlie@acme.com,USER_LOGOUT,
2026-01-14 18:40:00,eve@acme.com,USER_LOGOUT,
2026-01-14 17:53:00,frank@acme.com,USER_LOGOUT,
2026-01-14 17:43:00,diana@acme.com,FINDING_STATUS_CHANGED,nifi
2026-01-14 17:11:00,bob@acme.com,USER_LOGOUT,
2026-01-14 17:07:00,diana@acme.com,USER_LOGOUT,
2026-01-14 16:10:54,charlie@acme.com,SCAN_COMPLETED,nifi
2026-01-14 16:07:24,charlie@acme.com,SCAN_STARTED,nifi
2026-01-14 14:22:19,charlie@acme.com,SCAN_COMPLETED,elasticsearch
2026-01-14 14:22:19,charlie@acme.com,SCAN_STARTED,elasticsearch
2026-01-14 12:46:49,bob@acme.com,SCAN_COMPLETED,Mybinary
2026-01-14 12:43:53,bob@acme.com,SCAN_STARTED,Mybinary
2026-01-14 10:38:00,charlie@acme.com,USER_LOGIN,
2026-01-14 10:02:00,charlie@acme.com,FINDING_STATUS_CHANGED,Mybinary
2026-01-14 09:31:00,eve@acme.com,USER_LOGIN,
2026-01-14 08:49:00,diana@acme.com,USER_LOGIN,
2026-01-14 08:02:06,bob@acme.com,SCAN_COMPLETED,guava
2026-01-14 08:02:06,bob@acme.com,SCAN_STARTED,guava
2026-01-14 08:01:00,frank@acme.com,USER_LOGIN,
2026-01-14 07:31:00,bob@acme.com,USER_LOGIN,
2026-01-14 06:45:00,eve@acme.com,FINDING_STATUS_CHANGED,nifi
2026-01-14 06:25:21,bob@acme.com,SCAN_STARTED,Mybinary
2026-01-14 06:25:21,bob@acme.com,SCAN_COMPLETED,Mybinary
2026-01-14 05:59:00,charlie@acme.com,FINDING_STATUS_CHANGED,Mybinary
2026-01-14 05:30:00,bob@acme.com,FINDING_STATUS_CHANGED,smob
2026-01-14 03:20:00,diana@acme.com,FINDING_STATUS_CHANGED,spring-framework
2026-01-13 21:22:14,bob@acme.com,SCAN_COMPLETED,WebGoat
2026-01-13 21:06:22,bob@acme.com,SCAN_STARTED,WebGoat
2026-01-13 20:22:00,bob@acme.com,USER_LOGOUT,
